"","x"
"1","PRX.JO"
"2","ANH.JO"
"3","BTI.JO"
"4","NPN.JO"
"5","GLN.JO"
"6","CFR.JO"
"7","BHP.JO"
"8","AGL.JO"
"9","AMS.JO"
"10","FSR.JO"
"11","MTN.JO"
"12","VOD.JO"
"13","SBK.JO"
"14","CPI.JO"
"15","S32.JO"
"16","MNP.JO"
"17","SOL.JO"
"18","IMP.JO"
"19","SLM.JO"
"20","KIO.JO"
"21","GFI.JO"
"22","ABG.JO"
"23","ANG.JO"
"24","SHP.JO"
"25","BID.JO"
"26","APN.JO"
"27","DSY.JO"
"28","PPH.JO"
"29","SOLBE1.JO"
"30","NED.JO"
"31","REM.JO"
"32","CLS.JO"
"33","OMU.JO"
"34","RMI.JO"
"35","BVT.JO"
"36","NRP.JO"
"37","WHL.JO"
"38","EXX.JO"
"39","QLT.JO"
"40","MRP.JO"
"41","RNI.JO"
"42","MCG.JO"
"43","MEI.JO"
"44","INP.JO"
"45","GRT.JO"
"46","TFG.JO"
"47","ARI.JO"
"48","DGH.JO"
"49","SPP.JO"
"50","TBS.JO"
"51","LHC.JO"
"52","TXT.JO"
"53","TCP.JO"
"54","RBP.JO"
"55","HAR.JO"
"56","PIK.JO"
"57","SRE.JO"
"58","DCP.JO"
"59","CCO.JO"
"60","MTM.JO"
"61","SNT.JO"
"62","TKG.JO"
"63","HMN.JO"
"64","VVO.JO"
"65","RDF.JO"
"66","AVI.JO"
"67","SAP.JO"
"68","BAW.JO"
"69","LBH.JO"
"70","NTC.JO"
"71","TRU.JO"
"72","ITE.JO"
"73","RES.JO"
"74","INL.JO"
"75","MTH.JO"
"76","CML.JO"
"77","PSG.JO"
"78","KST.JO"
"79","GLD.JO"
"80","MSM.JO"
"81","EQU.JO"
"82","FFA.JO"
"83","MSP.JO"
"84","LTE.JO"
"85","IPL.JO"
"86","TSG.JO"
"87","GTC.JO"
"88","AFE.JO"
"89","SYGWD.JO"
"90","RCL.JO"
"91","MLI.JO"
"92","VKE.JO"
"93","SPG.JO"
